"Story","Title","Result","Date","Stability","Duration (s)"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y ingresar un producto  al carro de compras","SUCCESS","2023-11-19T11:40:06.1905138-05:00[America/Bogota]","0.0","11.5"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina sesion About dar Play al video y cerrar","SUCCESS","2023-11-19T11:40:31.6950697-05:00[America/Bogota]","0.0","12.47"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y registrar un Pedido","SUCCESS","2023-11-19T11:40:46.967712-05:00[America/Bogota]","0.0","39.95"
"Ingresar al Portal Web demoblaze.com","Ingresar a la pagina y ingresar un producto al carro y eliminarlo","SUCCESS","2023-12-11T13:36:17.0567429-05:00[America/Bogota]","0.0","48.27"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina web y registrar los usuarios mediante excel","SUCCESS","2023-12-15T15:00:40.5322587-05:00[America/Bogota]","0.0","102.69"
"Ingresar al Portal Web demoblaze.com","Ingresar a la Pagina web y loguear los usuarios","SUCCESS","2024-05-24T17:49:41.16277-05:00[America/Bogota]","0.0","89.04"
