"Story","Title","Result","Date","Stability","Duration (s)"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la pagina y ingresar un producto al carro y eliminarlo","SUCCESS","2023-11-18T21:27:21.7314522-05:00[America/Bogota]","0.0","17.86"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la pagina y ingresar un producto  al carro de compras","SUCCESS","2023-11-18T21:28:37.9286275-05:00[America/Bogota]","0.0","14.34"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesión About dar Play al video esparar 5 segundo  y Cerrarlo","ERROR","2023-11-18T21:04:26.4367281-05:00[America/Bogota]","0.0","1.06"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesion About dar Play al video esparar 5 segundo  y Cerrarlo","ERROR","2023-11-18T21:05:02.4325658-05:00[America/Bogota]","0.0","0.99"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesion About dar Play al video esparar 5 segundo yCerrarlo","ERROR","2023-11-18T21:06:01.4691099-05:00[America/Bogota]","0.0","1.0"
"Ingresar al link https://www.demoblaze.com/","Ingresar a la Pagina sesion About dar Play al video y cerrar","ERROR","2023-11-18T21:06:43.8299776-05:00[America/Bogota]","0.0","0.98"
